文件路径,识别结果,位置,置信度,用时
Camera: 0,中性,"[332, 143, 564, 473]",0.2796955108642578,0.017093658447265625
Camera: 0,中性,"[331, 134, 568, 473]",0.33347415924072266,0.0175173282623291
Camera: 0,中性,"[331, 134, 568, 473]",0.33346930146217346,0.015996694564819336
Camera: 0,中性,"[331, 134, 568, 473]",0.33348265290260315,0.019000768661499023
Camera: 0,中性,"[331, 134, 568, 473]",0.333499938249588,0.01899862289428711
Camera: 0,中性,"[331, 134, 568, 473]",0.33421042561531067,0.014998912811279297
Camera: 0,中性,"[332, 145, 560, 473]",0.29425913095474243,0.01700139045715332
Camera: 0,中性,"[332, 145, 560, 473]",0.2942820191383362,0.01999688148498535
Camera: 0,中性,"[332, 145, 560, 473]",0.29429054260253906,0.07262301445007324
Camera: 0,中性,"[332, 145, 560, 473]",0.29495832324028015,0.030957460403442383
Camera: 0,中性,"[329, 139, 566, 476]",0.29604580998420715,0.018001794815063477
Camera: 0,轻蔑,"[302, 100, 593, 500]",0.27779871225357056,0.019000768661499023
Camera: 0,快乐,"[298, 104, 587, 506]",0.5084940195083618,0.019000768661499023
Camera: 0,轻蔑,"[302, 100, 593, 500]",0.27776578068733215,0.020000934600830078
Camera: 0,快乐,"[298, 104, 587, 506]",0.5085035562515259,0.020000934600830078
Camera: 0,轻蔑,"[302, 100, 593, 500]",0.27779996395111084,0.017000436782836914
Camera: 0,快乐,"[298, 104, 587, 506]",0.5085079669952393,0.017000436782836914
Camera: 0,轻蔑,"[302, 100, 593, 500]",0.2777644395828247,0.025000333786010742
Camera: 0,快乐,"[298, 104, 587, 506]",0.5085254907608032,0.025000333786010742
Camera: 0,轻蔑,"[302, 100, 593, 500]",0.2777113616466522,0.025585174560546875
Camera: 0,快乐,"[297, 104, 587, 506]",0.5083975195884705,0.025585174560546875
Camera: 0,快乐,"[301, 107, 589, 507]",0.5585376024246216,0.031554222106933594
Camera: 0,快乐,"[301, 107, 589, 507]",0.5585187673568726,0.017000913619995117
