                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                  1.039,                 1.3081,                 1.4109,                0.42208,                0.56188,                0.49727,                0.33753,                  1.172,                 1.5128,                  1.834,               0.003235,               0.003235,               0.003235
                     85,                 1.0362,                 1.3005,                 1.4124,                0.41403,                0.57513,                0.49891,                 0.3377,                  1.175,                 1.5043,                 1.8397,              0.0031525,              0.0031525,              0.0031525
                     86,                 1.0433,                 1.3056,                 1.4147,                0.40717,                0.57688,                0.49723,                0.33459,                 1.1744,                 1.5117,                 1.8418,                0.00307,                0.00307,                0.00307
                     87,                 1.0321,                 1.2911,                 1.4076,                0.41831,                0.55729,                0.49847,                0.33636,                 1.1762,                 1.5172,                 1.8459,              0.0029875,              0.0029875,              0.0029875
                     88,                 1.0383,                 1.2874,                 1.4064,                0.41762,                0.55592,                0.49843,                0.33681,                 1.1735,                 1.5211,                 1.8428,               0.002905,               0.002905,               0.002905
                     89,                 1.0291,                 1.2872,                 1.4096,                 0.4227,                0.55139,                0.49937,                0.33764,                 1.1727,                  1.532,                 1.8419,              0.0028225,              0.0028225,              0.0028225
                     90,                 1.0308,                 1.2846,                 1.4082,                0.42492,                0.55902,                0.49935,                0.33581,                 1.1747,                 1.5294,                 1.8441,                0.00274,                0.00274,                0.00274
                     91,                 1.0368,                 1.2815,                 1.4105,                0.42402,                0.55853,                0.49602,                0.33419,                 1.1748,                 1.5379,                 1.8419,              0.0026575,              0.0026575,              0.0026575
                     92,                 1.0305,                 1.2778,                 1.4056,                0.42353,                0.56034,                0.49842,                0.33545,                 1.1778,                 1.5297,                 1.8439,               0.002575,               0.002575,               0.002575
                     93,                 1.0265,                 1.2664,                 1.4056,                0.42073,                0.57176,                0.49886,                0.33656,                 1.1766,                 1.5253,                 1.8419,              0.0024925,              0.0024925,              0.0024925
                     94,                 1.0279,                 1.2719,                 1.4005,                0.41117,                0.57842,                0.49723,                0.33529,                 1.1781,                 1.5248,                 1.8421,                0.00241,                0.00241,                0.00241
                     95,                 1.0159,                 1.2599,                 1.3985,                0.41653,                 0.5762,                0.49753,                0.33588,                 1.1799,                 1.5222,                 1.8425,              0.0023275,              0.0023275,              0.0023275
                     96,                 1.0307,                 1.2608,                  1.407,                0.41913,                0.57401,                0.49844,                0.33638,                 1.1793,                 1.5212,                 1.8425,               0.002245,               0.002245,               0.002245
                     97,                 1.0211,                 1.2631,                 1.4019,                0.42198,                0.57133,                0.49883,                0.33761,                 1.1802,                 1.5195,                 1.8454,              0.0021625,              0.0021625,              0.0021625
                     98,                 1.0207,                 1.2431,                 1.3999,                0.42419,                0.57213,                0.49706,                0.33557,                 1.1837,                  1.524,                 1.8515,                0.00208,                0.00208,                0.00208
                     99,                 1.0161,                  1.225,                 1.3947,                0.42811,                0.56002,                 0.4971,                0.33386,                 1.1866,                  1.533,                 1.8556,              0.0019975,              0.0019975,              0.0019975
                    100,                 1.0186,                 1.2514,                 1.3994,                0.42741,                0.56106,                0.49555,                0.33404,                 1.1859,                 1.5384,                  1.855,               0.001915,               0.001915,               0.001915
                    101,                 1.0186,                 1.2333,                 1.3977,                0.42878,                0.55435,                0.49469,                0.33463,                 1.1852,                 1.5416,                 1.8543,              0.0018325,              0.0018325,              0.0018325
                    102,                 1.0061,                  1.228,                 1.3921,                0.42472,                0.55686,                0.49438,                0.33436,                 1.1842,                 1.5459,                 1.8542,                0.00175,                0.00175,                0.00175
                    103,                 1.0068,                  1.232,                 1.3914,                0.42013,                0.55681,                 0.4932,                0.33264,                 1.1856,                 1.5478,                  1.856,              0.0016675,              0.0016675,              0.0016675
                    104,                 1.0111,                 1.2292,                 1.3922,                0.42008,                0.56056,                0.49119,                0.33096,                  1.184,                 1.5525,                 1.8552,               0.001585,               0.001585,               0.001585
                    105,                  1.008,                 1.2137,                 1.3912,                0.41184,                0.56156,                0.49173,                 0.3307,                 1.1845,                 1.5542,                 1.8561,              0.0015025,              0.0015025,              0.0015025
                    106,                  1.004,                 1.2267,                 1.3938,                0.42268,                0.55327,                0.49116,                 0.3304,                 1.1833,                 1.5608,                 1.8558,                0.00142,                0.00142,                0.00142
                    107,                  1.002,                 1.2041,                 1.3851,                0.41845,                0.56126,                0.49085,                0.33055,                 1.1833,                 1.5645,                 1.8558,              0.0013375,              0.0013375,              0.0013375
                    108,                 1.0002,                 1.2033,                 1.3875,                 0.4177,                0.56026,                0.49125,                0.33042,                 1.1845,                 1.5676,                 1.8576,               0.001255,               0.001255,               0.001255
                    109,                0.99695,                 1.1967,                 1.3836,                0.42839,                 0.5438,                0.49014,                0.33007,                 1.1851,                 1.5735,                 1.8588,              0.0011725,              0.0011725,              0.0011725
                    110,                0.99279,                 1.1899,                 1.3825,                 0.4222,                0.55678,                0.48944,                 0.3286,                 1.1862,                 1.5792,                 1.8599,                0.00109,                0.00109,                0.00109
                    111,                0.99277,                 0.8232,                 1.6072,                0.40697,                0.57075,                 0.4895,                0.32864,                 1.1862,                 1.5828,                 1.8609,              0.0010075,              0.0010075,              0.0010075
                    112,                 0.9862,                0.78229,                 1.5965,                0.40778,                0.57035,                0.48918,                0.32843,                 1.1862,                 1.5849,                 1.8613,               0.000925,               0.000925,               0.000925
                    113,                0.98184,                0.76809,                 1.5932,                0.39891,                0.59739,                0.48883,                0.32906,                 1.1863,                  1.589,                  1.862,              0.0008425,              0.0008425,              0.0008425
                    114,                0.97638,                0.75266,                 1.5824,                0.39486,                0.60186,                0.48806,                0.32806,                 1.1863,                 1.5956,                 1.8623,                0.00076,                0.00076,                0.00076
                    115,                0.97228,                 0.7496,                 1.5834,                  0.395,                0.60353,                0.48749,                0.32728,                 1.1866,                 1.6014,                 1.8629,              0.0006775,              0.0006775,              0.0006775
                    116,                 0.9649,                0.73457,                 1.5745,                0.39278,                0.60342,                0.48815,                0.32824,                  1.187,                 1.6079,                 1.8644,               0.000595,               0.000595,               0.000595
                    117,                0.96687,                0.72947,                 1.5817,                0.39116,                0.60285,                0.48789,                0.32754,                 1.1875,                 1.6136,                 1.8656,              0.0005125,              0.0005125,              0.0005125
                    118,                0.96563,                0.72117,                 1.5764,                0.38932,                0.60306,                0.48785,                0.32702,                 1.1881,                 1.6198,                 1.8666,                0.00043,                0.00043,                0.00043
                    119,                0.96054,                0.72393,                 1.5786,                0.38388,                0.60604,                0.48796,                0.32728,                 1.1884,                 1.6258,                 1.8673,              0.0003475,              0.0003475,              0.0003475
                    120,                0.95278,                0.71268,                 1.5726,                0.38274,                0.60687,                0.48767,                0.32697,                  1.189,                 1.6314,                 1.8682,               0.000265,               0.000265,               0.000265
